"date","conf","status1","s1","status2","s2","comment"
"1996-01-31","","Normal value",72.39,,,
"1996-02-29","","Normal value",72.52,"Normal value",0.18,
"1996-03-31","","Normal value",72.76,"Normal value",0.32,
"1996-04-30","","Normal value",72.91,"Normal value",0.21,
"1996-05-31","","Normal value",72.97,"Normal value",0.08,
"1996-06-30","","Normal value",73.02,"Normal value",0.07,
"1996-07-31","","Normal value",73.06,"Normal value",0.05,
"1996-08-31","","Normal value",73.05,"Normal value",-0.02,
"1996-09-30","","Normal value",73.17,"Normal value",0.17,
"1996-10-31","","Normal value",73.3,"Normal value",0.17,
"1996-11-30","","Normal value",73.33,"Normal value",0.04,
"1996-12-31","","Normal value",73.47,"Normal value",0.19,
"1997-01-31","","Normal value",73.81,"Normal value",0.46,
"1997-02-28","","Normal value",73.78,"Normal value",-0.04,
"1997-03-31","","Normal value",73.79,"Normal value",0.02,
"1997-04-30","","Normal value",73.75,"Normal value",-0.06,
"1997-05-31","","Normal value",73.87,"Normal value",0.16,
"1997-06-30","","Normal value",73.93,"Normal value",0.08,
"1997-07-31","","Normal value",74.03,"Normal value",0.14,
"1997-08-31","","Normal value",74.18,"Normal value",0.21,
"1997-09-30","","Normal value",74.25,"Normal value",0.09,
"1997-10-31","","Normal value",74.32,"Normal value",0.09,
"1997-11-30","","Normal value",74.45,"Normal value",0.18,
"1997-12-31","","Normal value",74.51,"Normal value",0.08,
"1998-01-31","","Normal value",74.56,"Normal value",0.06,"Introduction of harmonised treatment of price reductions in Portugal as of Jan98"
"1998-02-28","","Normal value",74.59,"Normal value",0.04,
"1998-03-31","","Normal value",74.6,"Normal value",0.01,
"1998-04-30","","Normal value",74.69,"Normal value",0.13,
"1998-05-31","","Normal value",74.76,"Normal value",0.09,
"1998-06-30","","Normal value",74.83,"Normal value",0.1,
"1998-07-31","","Normal value",74.88,"Normal value",0.06,
"1998-08-31","","Normal value",74.91,"Normal value",0.04,
"1998-09-30","","Normal value",74.91,"Normal value",0,
"1998-10-31","","Normal value",74.95,"Normal value",0.05,
"1998-11-30","","Normal value",74.97,"Normal value",0.03,
"1998-12-31","","Normal value",74.98,"Normal value",0.01,
"1999-01-31","","Normal value",75.07,"Normal value",0.12,"Introduction of harmonised treatment of price reductions in Luxembourg as of Jan99"
"1999-02-28","","Normal value",75.12,"Normal value",0.07,
"1999-03-31","","Normal value",75.23,"Normal value",0.15,
"1999-04-30","","Normal value",75.41,"Normal value",0.23,
"1999-05-31","","Normal value",75.4,"Normal value",-0.01,
"1999-06-30","","Normal value",75.43,"Normal value",0.04,
"1999-07-31","","Normal value",75.61,"Normal value",0.23,
"1999-08-31","","Normal value",75.74,"Normal value",0.17,
"1999-09-30","","Normal value",75.77,"Normal value",0.04,
"1999-10-31","","Normal value",75.89,"Normal value",0.15,
"1999-11-30","","Normal value",76.03,"Normal value",0.19,
"1999-12-31","","Normal value",76.24,"Normal value",0.27,
"2000-01-31","","Normal value",76.46,"Normal value",0.28,"Introduction of harmonised treatment of price reductions in Belgium as of Jan00"
"2000-02-29","","Normal value",76.59,"Normal value",0.17,
"2000-03-31","","Normal value",76.66,"Normal value",0.1,
"2000-04-30","","Normal value",76.61,"Normal value",-0.07,
"2000-05-31","","Normal value",76.65,"Normal value",0.05,
"2000-06-30","","Normal value",76.97,"Normal value",0.42,
"2000-07-31","","Normal value",77.16,"Normal value",0.25,
"2000-08-31","","Normal value",77.32,"Normal value",0.2,
"2000-09-30","","Normal value",77.57,"Normal value",0.33,
"2000-10-31","","Normal value",77.67,"Normal value",0.13,
"2000-11-30","","Normal value",77.9,"Normal value",0.29,
"2000-12-31","","Normal value",77.98,"Normal value",0.1,
"2001-01-31","","Normal value",77.89,"Normal value",-0.12,"Introduction of harmonised treatment of price reductions in Spain and Italy as of Jan01"
"2001-02-28","","Normal value",77.99,"Normal value",0.14,
"2001-03-31","","Normal value",78.2,"Normal value",0.26,
"2001-04-30","","Normal value",78.5,"Normal value",0.39,
"2001-05-31","","Normal value",78.82,"Normal value",0.41,
"2001-06-30","","Normal value",79,"Normal value",0.23,
"2001-07-31","","Normal value",78.98,"Normal value",-0.03,
"2001-08-31","","Normal value",78.99,"Normal value",0.02,
"2001-09-30","","Normal value",79.11,"Normal value",0.14,
"2001-10-31","","Normal value",79.23,"Normal value",0.15,
"2001-11-30","","Normal value",79.31,"Normal value",0.1,
"2001-12-31","","Normal value",79.54,"Normal value",0.29,
"2002-01-31","","Normal value",79.86,"Normal value",0.41,
"2002-02-28","","Normal value",79.88,"Normal value",0.02,
"2002-03-31","","Normal value",80.09,"Normal value",0.26,
"2002-04-30","","Normal value",80.24,"Normal value",0.19,
"2002-05-31","","Normal value",80.35,"Normal value",0.14,
"2002-06-30","","Normal value",80.4,"Normal value",0.06,
"2002-07-31","","Normal value",80.52,"Normal value",0.15,
"2002-08-31","","Normal value",80.63,"Normal value",0.14,
"2002-09-30","","Normal value",80.76,"Normal value",0.15,
"2002-10-31","","Normal value",80.95,"Normal value",0.24,
"2002-11-30","","Normal value",81.05,"Normal value",0.13,
"2002-12-31","","Normal value",81.28,"Normal value",0.27,
"2003-01-31","","Normal value",81.48,"Normal value",0.25,
"2003-02-28","","Normal value",81.69,"Normal value",0.26,
"2003-03-31","","Normal value",81.9,"Normal value",0.25,
"2003-04-30","","Normal value",81.75,"Normal value",-0.17,
"2003-05-31","","Normal value",81.68,"Normal value",-0.09,
"2003-06-30","","Normal value",81.88,"Normal value",0.25,
"2003-07-31","","Normal value",81.99,"Normal value",0.13,
"2003-08-31","","Normal value",82.16,"Normal value",0.2,
"2003-09-30","","Normal value",82.36,"Normal value",0.24,
"2003-10-31","","Normal value",82.42,"Normal value",0.07,
"2003-11-30","","Normal value",82.59,"Normal value",0.21,
"2003-12-31","","Normal value",82.7,"Normal value",0.13,
"2004-01-31","","Normal value",82.85,"Normal value",0.18,
"2004-02-29","","Normal value",82.95,"Normal value",0.12,
"2004-03-31","","Normal value",83.05,"Normal value",0.12,
"2004-04-30","","Normal value",83.23,"Normal value",0.21,
"2004-05-31","","Normal value",83.44,"Normal value",0.26,
"2004-06-30","","Normal value",83.59,"Normal value",0.18,
"2004-07-31","","Normal value",83.68,"Normal value",0.1,
"2004-08-31","","Normal value",83.85,"Normal value",0.2,
"2004-09-30","","Normal value",83.91,"Normal value",0.07,
"2004-10-31","","Normal value",84.17,"Normal value",0.31,
"2004-11-30","","Normal value",84.28,"Normal value",0.14,
"2004-12-31","","Normal value",84.36,"Normal value",0.09,
"2005-01-31","","Normal value",84.3,"Normal value",-0.07,
"2005-02-28","","Normal value",84.52,"Normal value",0.26,
"2005-03-31","","Normal value",84.77,"Normal value",0.3,
"2005-04-30","","Normal value",84.85,"Normal value",0.1,
"2005-05-31","","Normal value",84.98,"Normal value",0.15,
"2005-06-30","","Normal value",85.15,"Normal value",0.2,
"2005-07-31","","Normal value",85.34,"Normal value",0.22,
"2005-08-31","","Normal value",85.57,"Normal value",0.27,
"2005-09-30","","Normal value",85.94,"Normal value",0.43,
"2005-10-31","","Normal value",86.09,"Normal value",0.17,
"2005-11-30","","Normal value",86.04,"Normal value",-0.06,
"2005-12-31","","Normal value",86.2,"Normal value",0.18,
"2006-01-31","","Normal value",86.36,"Normal value",0.19,
"2006-02-28","","Normal value",86.53,"Normal value",0.2,
"2006-03-31","","Normal value",86.57,"Normal value",0.05,
"2006-04-30","","Normal value",86.84,"Normal value",0.31,
"2006-05-31","","Normal value",87.02,"Normal value",0.21,
"2006-06-30","","Normal value",87.16,"Normal value",0.15,
"2006-07-31","","Normal value",87.35,"Normal value",0.22,
"2006-08-31","","Normal value",87.49,"Normal value",0.16,
"2006-09-30","","Normal value",87.44,"Normal value",-0.06,
"2006-10-31","","Normal value",87.43,"Normal value",-0.01,"Introduction of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP in Italy. Collection after October 2006 took place between the 1st and the 21st of the reference month. Until September 2006 the collection period was between the 16th of the previous month and the 15th of the reference month."
"2006-11-30","","Normal value",87.6,"Normal value",0.2,
"2006-12-31","","Normal value",87.77,"Normal value",0.19,
"2007-01-31","","Normal value",87.94,"Normal value",0.19,
"2007-02-28","","Normal value",88.1,"Normal value",0.19,
"2007-03-31","","Normal value",88.19,"Normal value",0.09,
"2007-04-30","","Normal value",88.4,"Normal value",0.25,
"2007-05-31","","Normal value",88.57,"Normal value",0.19,
"2007-06-30","","Normal value",88.72,"Normal value",0.17,
"2007-07-31","","Normal value",88.86,"Normal value",0.16,
"2007-08-31","","Normal value",88.97,"Normal value",0.12,
"2007-09-30","","Normal value",89.23,"Normal value",0.3,
"2007-10-31","","Normal value",89.65,"Normal value",0.48,
"2007-11-30","","Normal value",90.27,"Normal value",0.69,
"2007-12-31","","Normal value",90.44,"Normal value",0.19,
"2008-01-31","","Normal value",90.81,"Normal value",0.41,"Introduction of methodological changes to the German HICP including - new basket, updated of volume structure of the weights, introduction of explicit weights for outlets and implementation of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP"
"2008-02-29","","Normal value",91.03,"Normal value",0.24,
"2008-03-31","","Normal value",91.31,"Normal value",0.31,
"2008-04-30","","Normal value",91.25,"Normal value",-0.06,
"2008-05-31","","Normal value",91.82,"Normal value",0.62,
"2008-06-30","","Normal value",92.24,"Normal value",0.46,
"2008-07-31","","Normal value",92.53,"Normal value",0.32,
"2008-08-31","","Normal value",92.42,"Normal value",-0.12,
"2008-09-30","","Normal value",92.48,"Normal value",0.07,
"2008-10-31","","Normal value",92.49,"Normal value",0.01,
"2008-11-30","","Normal value",92.16,"Normal value",-0.36,
"2008-12-31","","Normal value",91.82,"Normal value",-0.37,
"2009-01-31","","Normal value",91.86,"Normal value",0.04,
"2009-02-28","","Normal value",92.09,"Normal value",0.26,
"2009-03-31","","Normal value",91.7,"Normal value",-0.43,
"2009-04-30","","Normal value",91.73,"Normal value",0.03,
"2009-05-31","","Normal value",91.77,"Normal value",0.04,
"2009-06-30","","Normal value",92,"Normal value",0.25,
"2009-07-31","","Normal value",91.86,"Normal value",-0.15,
"2009-08-31","","Normal value",92.16,"Normal value",0.32,
"2009-09-30","","Normal value",92.06,"Normal value",-0.11,
"2009-10-31","","Normal value",92.24,"Normal value",0.2,
"2009-11-30","","Normal value",92.46,"Normal value",0.24,
"2009-12-31","","Normal value",92.53,"Normal value",0.08,
"2010-01-31","","Normal value",92.65,"Normal value",0.13,"Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the Spanish HICP. Also reallocation of rented holiday apartments from COICOP accomodation services (11.2.0) to actual rentals (04.1.1) in the Spanish HICP.  These changes have a distorting impact on the annual rates of change in 2010.  See Box 3 in the April 2011 ECB Monthly Bulletin for details."
"2010-02-28","","Normal value",92.78,"Normal value",0.14,
"2010-03-31","","Normal value",92.96,"Normal value",0.19,
"2010-04-30","","Normal value",93.12,"Normal value",0.18,
"2010-05-31","","Normal value",93.22,"Normal value",0.11,
"2010-06-30","","Normal value",93.3,"Normal value",0.09,
"2010-07-31","","Normal value",93.44,"Normal value",0.14,
"2010-08-31","","Normal value",93.56,"Normal value",0.13,
"2010-09-30","","Normal value",93.7,"Normal value",0.15,
"2010-10-31","","Normal value",93.93,"Normal value",0.24,
"2010-11-30","","Normal value",94.15,"Normal value",0.23,
"2010-12-31","","Normal value",94.49,"Normal value",0.36,
"2011-01-31","","Normal value",94.76,"Normal value",0.28,"Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the HICPs of DE, EE, GR, FR, IT, CY, LU, MT, PT, SI, SK. The Regulation had particularly large impacts on clothing and footwear and to a lesser extent fruit and vegetables. In addition, NL implemented a new methodology for package holidays and air transport. These changes have a distorting impact on the annual rates of change in 2011.  See Box 3 in the April 2011 ECB Monthly Bulletin for details."
"2011-02-28","","Normal value",94.97,"Normal value",0.22,
"2011-03-31","","Normal value",95.31,"Normal value",0.36,
"2011-04-30","","Normal value",95.73,"Normal value",0.44,
"2011-05-31","","Normal value",95.73,"Normal value",0,
"2011-06-30","","Normal value",95.82,"Normal value",0.1,
"2011-07-31","","Normal value",95.82,"Normal value",0,
"2011-08-31","","Normal value",95.92,"Normal value",0.1,
"2011-09-30","","Normal value",96.4,"Normal value",0.5,"Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal products in the Austrian HICP.  See Box 3 in the April 2011 ECB Monthly Bulletin for details."
"2011-10-31","","Normal value",96.66,"Normal value",0.26,
"2011-11-30","","Normal value",96.91,"Normal value",0.26,
"2011-12-31","","Normal value",97.02,"Normal value",0.12,
"2012-01-31","","Normal value",97.26,"Normal value",0.25,"Implementation of HICP Regulation No. 114/2010 on the quality of HICP weights in the HICPs of DE, IE, CY, LU, MT, AT, FI.  See Box 3 in the April 2012 ECB Monthly Bulletin for details."
"2012-02-29","","Normal value",97.51,"Normal value",0.26,
"2012-03-31","","Normal value",97.78,"Normal value",0.27,
"2012-04-30","","Normal value",98.15,"Normal value",0.38,
"2012-05-31","","Normal value",98.02,"Normal value",-0.14,
"2012-06-30","","Normal value",97.97,"Normal value",-0.05,
"2012-07-31","","Normal value",98.05,"Normal value",0.08,
"2012-08-31","","Normal value",98.36,"Normal value",0.31,
"2012-09-30","","Normal value",98.78,"Normal value",0.43,
"2012-10-31","","Normal value",98.96,"Normal value",0.18,
"2012-11-30","","Normal value",98.98,"Normal value",0.03,
"2012-12-31","","Normal value",99.12,"Normal value",0.14,
"2013-01-31","","Normal value",99.17,"Normal value",0.05,
"2013-02-28","","Normal value",99.29,"Normal value",0.13,
"2013-03-31","","Normal value",99.47,"Normal value",0.18,
"2013-04-30","","Normal value",99.27,"Normal value",-0.2,
"2013-05-31","","Normal value",99.39,"Normal value",0.11,
"2013-06-30","","Normal value",99.47,"Normal value",0.08,
"2013-07-31","","Normal value",99.52,"Normal value",0.06,
"2013-08-31","","Normal value",99.56,"Normal value",0.03,
"2013-09-30","","Normal value",99.7,"Normal value",0.15,
"2013-10-31","","Normal value",99.56,"Normal value",-0.14,
"2013-11-30","","Normal value",99.73,"Normal value",0.17,
"2013-12-31","","Normal value",99.89,"Normal value",0.16,
"2014-01-31","","Normal value",99.9,"Normal value",0.01,
"2014-02-28","","Normal value",99.99,"Normal value",0.09,
"2014-03-31","","Normal value",99.94,"Normal value",-0.05,
"2014-04-30","","Normal value",99.94,"Normal value",0,
"2014-05-31","","Normal value",99.8,"Normal value",-0.14,
"2014-06-30","","Normal value",99.83,"Normal value",0.02,
"2014-07-31","","Normal value",99.79,"Normal value",-0.03,
"2014-08-31","","Normal value",99.85,"Normal value",0.06,
"2014-09-30","","Normal value",99.93,"Normal value",0.08,
"2014-10-31","","Normal value",99.83,"Normal value",-0.1,
"2014-11-30","","Normal value",99.98,"Normal value",0.15,
"2014-12-31","","Normal value",99.69,"Normal value",-0.29,
"2015-01-31","","Normal value",99.24,"Normal value",-0.45,
"2015-02-28","","Normal value",99.68,"Normal value",0.44,
"2015-03-31","","Normal value",99.89,"Normal value",0.21,
"2015-04-30","","Normal value",100.09,"Normal value",0.2,
"2015-05-31","","Normal value",100.3,"Normal value",0.21,
"2015-06-30","","Normal value",100.23,"Normal value",-0.07,
"2015-07-31","","Normal value",100.22,"Normal value",-0.01,
"2015-08-31","","Normal value",100.15,"Normal value",-0.06,
"2015-09-30","","Normal value",100.06,"Normal value",-0.09,
"2015-10-31","","Normal value",100.12,"Normal value",0.06,
"2015-11-30","","Normal value",100.06,"Normal value",-0.06,
"2015-12-31","","Normal value",99.9,"Normal value",-0.16,
"2016-01-31","","Normal value",99.51,"Normal value",-0.39,
"2016-02-29","","Normal value",99.54,"Normal value",0.03,
"2016-03-31","","Normal value",99.86,"Normal value",0.32,
"2016-04-30","","Normal value",99.8,"Normal value",-0.06,
"2016-05-31","","Normal value",100.09,"Normal value",0.29,
"2016-06-30","","Normal value",100.19,"Normal value",0.1,
"2016-07-31","","Normal value",100.27,"Normal value",0.08,
"2016-08-31","","Normal value",100.29,"Normal value",0.02,
"2016-09-30","","Normal value",100.41,"Normal value",0.12,
"2016-10-31","","Normal value",100.58,"Normal value",0.17,
"2016-11-30","","Normal value",100.65,"Normal value",0.07,
"2016-12-31","","Normal value",101.01,"Normal value",0.36,
"2017-01-31","","Normal value",101.21,"Normal value",0.2,
"2017-02-28","","Normal value",101.47,"Normal value",0.25,
"2017-03-31","","Normal value",101.42,"Normal value",-0.05,
"2017-04-30","","Normal value",101.62,"Normal value",0.2,
"2017-05-31","","Normal value",101.44,"Normal value",-0.18,
"2017-06-30","","Normal value",101.45,"Normal value",0.01,
"2017-07-31","","Normal value",101.53,"Normal value",0.08,
"2017-08-31","","Normal value",101.75,"Normal value",0.22,
"2017-09-30","","Normal value",101.94,"Normal value",0.18,
"2017-10-31","","Normal value",101.93,"Normal value",-0.01,
"2017-11-30","","Normal value",102.14,"Normal value",0.21,
"2017-12-31","","Normal value",102.33,"Normal value",0.18,
"2018-01-31","","Normal value",102.43,"Normal value",0.1,
"2018-02-28","","Normal value",102.51,"Normal value",0.08,
"2018-03-31","","Normal value",102.73,"Normal value",0.21,
"2018-04-30","","Normal value",102.75,"Normal value",0.02,
"2018-05-31","","Normal value",103.33,"Normal value",0.56,
"2018-06-30","","Normal value",103.34,"Normal value",0.02,
"2018-07-31","","Normal value",103.65,"Normal value",0.29,
"2018-08-31","","Normal value",103.78,"Normal value",0.13,
"2018-09-30","","Normal value",104,"Normal value",0.21,
"2018-10-31","","Normal value",104.2,"Normal value",0.19,
"2018-11-30","","Normal value",104.03,"Normal value",-0.17,
"2018-12-31","","Normal value",103.85,"Normal value",-0.16,
"2019-01-31","","Normal value",103.73,"Normal value",-0.12,
"2019-02-28","","Normal value",103.86,"Normal value",0.13,
"2019-03-31","","Normal value",104.09,"Normal value",0.22,
"2019-04-30","","Normal value",104.42,"Normal value",0.32,
"2019-05-31","","Normal value",104.53,"Normal value",0.1,
"2019-06-30","","Normal value",104.59,"Normal value",0.06,
"2019-07-31","","Normal value",104.66,"Normal value",0.06,
"2019-08-31","","Normal value",104.79,"Normal value",0.12,
"2019-09-30","","Normal value",104.85,"Normal value",0.06,
"2019-10-31","","Normal value",104.9,"Normal value",0.05,
"2019-11-30","","Normal value",104.89,"Normal value",-0.01,
"2019-12-31","","Normal value",105.17,"Normal value",0.27,
"2020-01-31","","Normal value",105,"Normal value",-0.16,
"2020-02-29","","Normal value",104.94,"Normal value",-0.06,
"2020-03-31","","Normal value",104.72,"Normal value",-0.22,
"2020-04-30","","Normal value",104.64,"Normal value",-0.07,
"2020-05-31","","Normal value",104.52,"Normal value",-0.11,
"2020-06-30","","Normal value",104.75,"Normal value",0.21,
"2020-07-31","","Normal value",104.96,"Normal value",0.21,
"2020-08-31","","Normal value",104.49,"Normal value",-0.45,
"2020-09-30","","Normal value",104.41,"Normal value",-0.08,
"2020-10-31","","Normal value",104.48,"Normal value",0.07,
"2020-11-30","","Normal value",104.41,"Normal value",-0.07,
"2020-12-31","","Normal value",104.75,"Normal value",0.33,
"2021-01-31","","Normal value",105.79,"Normal value",0.99,
"2021-02-28","","Normal value",105.72,"Normal value",-0.07,
"2021-03-31","","Normal value",105.98,"Normal value",0.25,
"2021-04-30","","Normal value",106.28,"Normal value",0.28,
"2021-05-31","","Normal value",106.59,"Normal value",0.29,
"2021-06-30","","Normal value",106.75,"Normal value",0.15,
"2021-07-31","","Normal value",107.28,"Normal value",0.5,
"2021-08-31","","Normal value",107.63,"Normal value",0.32,
"2021-09-30","","Normal value",107.96,"Normal value",0.32,
"2021-10-31","","Normal value",108.69,"Normal value",0.67,
"2021-11-30","","Normal value",109.48,"Normal value",0.73,
"2021-12-31","","Normal value",110.05,"Normal value",0.51,
"2022-01-31","","Normal value",111.19,"Normal value",1.04,
"2022-02-28","","Normal value",111.98,"Normal value",0.71,
"2022-03-31","","Normal value",113.97,"Normal value",1.78,
"2022-04-30","","Normal value",114.38,"Normal value",0.36,
"2022-05-31","","Normal value",115.38,"Normal value",0.87,
"2022-06-30","","Normal value",116.19,"Normal value",0.7,
"2022-07-31","","Normal value",117,"Normal value",0.7,
"2022-08-31","","Normal value",117.68,"Normal value",0.57,
"2022-09-30","","Normal value",118.9,"Normal value",1.04,
"2022-10-31","","Normal value",120.39,"Normal value",1.25,
"2022-11-30","","Normal value",120.65,"Normal value",0.22,
"2022-12-31","","Normal value",120.33,"Normal value",-0.26,
"2023-01-31","","Normal value",120.86,"Normal value",0.43,
