date,inflation,preise,strompreis,dieselpreis,immobilienpreis,goldpreis,investieren
2004-01-01,27,58,12,0,33,4,16
2004-02-01,25,55,5,0,29,3,16
2004-03-01,36,57,0,1,0,5,26
2004-04-01,25,59,16,1,0,3,16
2004-05-01,29,56,16,1,0,4,12
2004-06-01,29,56,14,1,0,4,12
2004-07-01,17,58,16,1,0,4,7
2004-08-01,16,60,7,1,0,4,9
2004-09-01,29,56,20,1,0,4,0
2004-10-01,21,54,21,2,0,3,12
2004-11-01,29,52,22,1,0,4,9
2004-12-01,23,48,30,2,100,4,16
2005-01-01,23,53,27,1,35,3,15
2005-02-01,23,51,32,1,0,4,0
2005-03-01,23,54,16,1,29,3,9
2005-04-01,22,52,13,1,0,2,6
2005-05-01,26,49,15,1,0,2,29
2005-06-01,21,49,15,1,0,4,21
2005-07-01,16,50,18,1,25,3,15
2005-08-01,10,54,19,2,0,3,6
2005-09-01,19,47,33,1,0,3,18
2005-10-01,23,43,24,1,19,4,15
2005-11-01,25,43,25,1,24,5,13
2005-12-01,17,41,42,0,0,7,20
2006-01-01,24,43,52,0,0,6,11
2006-02-01,20,39,32,0,18,6,5
2006-03-01,22,41,26,1,18,5,17
2006-04-01,19,44,22,1,34,6,18
2006-05-01,23,40,18,1,18,7,21
2006-06-01,20,39,18,1,0,4,15
2006-07-01,14,39,22,1,0,5,6
2006-08-01,14,43,29,1,0,5,10
2006-09-01,19,41,33,1,15,4,11
2006-10-01,19,38,30,0,0,4,13
2006-11-01,22,37,30,0,0,4,13
2006-12-01,21,37,34,1,30,5,10
2007-01-01,22,37,35,1,8,5,18
2007-02-01,20,39,26,0,0,5,17
2007-03-01,19,35,25,1,0,4,10
2007-04-01,18,35,20,1,0,3,10
2007-05-01,19,36,27,1,0,4,11
2007-06-01,19,35,52,1,22,3,13
2007-07-01,15,38,43,1,14,3,13
2007-08-01,13,41,45,1,0,4,18
2007-09-01,17,36,32,1,8,4,12
2007-10-01,23,35,69,1,9,5,12
2007-11-01,29,41,86,3,6,6,16
2007-12-01,24,36,66,2,14,5,15
2008-01-01,26,40,54,1,8,11,17
2008-02-01,25,39,34,2,19,8,14
2008-03-01,22,40,29,2,12,10,15
2008-04-01,31,41,23,2,11,9,11
2008-05-01,26,40,25,5,0,6,13
2008-06-01,31,37,25,3,11,6,18
2008-07-01,30,44,32,2,14,7,15
2008-08-01,19,42,25,2,9,7,10
2008-09-01,27,39,24,2,16,11,14
2008-10-01,33,38,24,2,10,26,21
2008-11-01,26,37,41,2,0,9,17
2008-12-01,24,34,43,2,0,10,17
2009-01-01,26,39,35,1,6,9,14
2009-02-01,34,37,34,1,9,14,14
2009-03-01,36,39,24,1,0,14,12
2009-04-01,34,40,18,1,8,12,13
2009-05-01,30,43,21,1,0,8,14
2009-06-01,23,46,17,1,4,8,13
2009-07-01,19,47,18,1,0,7,10
2009-08-01,12,48,18,1,11,7,14
2009-09-01,19,47,14,1,5,10,12
2009-10-01,17,50,21,1,0,11,14
2009-11-01,22,48,27,1,11,15,11
2009-12-01,21,45,22,1,9,15,11
2010-01-01,24,53,25,1,0,13,11
2010-02-01,23,53,22,1,0,13,10
2010-03-01,22,56,23,1,5,13,10
2010-04-01,23,57,16,1,7,12,11
2010-05-01,51,57,12,1,10,28,17
2010-06-01,22,53,17,1,10,14,14
2010-07-01,15,54,15,1,0,14,10
2010-08-01,13,56,20,2,0,11,12
2010-09-01,20,52,20,1,7,11,12
2010-10-01,20,50,26,1,0,12,13
2010-11-01,23,48,42,1,0,14,13
2010-12-01,18,43,33,1,0,15,13
2011-01-01,26,66,39,2,5,18,19
2011-02-01,29,65,28,3,0,16,16
2011-03-01,24,66,28,3,0,17,18
2011-04-01,27,65,23,4,9,17,22
2011-05-01,28,64,18,2,12,18,18
2011-06-01,22,66,19,2,9,16,16
2011-07-01,24,70,19,3,8,31,25
2011-08-01,24,74,19,3,7,47,24
2011-09-01,24,66,19,2,7,37,20
2011-10-01,26,67,21,3,10,30,17
2011-11-01,36,63,26,3,4,29,18
2011-12-01,29,57,24,2,4,30,24
2012-01-01,25,68,27,2,4,26,20
2012-02-01,23,67,30,3,10,23,18
2012-03-01,25,73,24,3,14,22,18
2012-04-01,21,73,20,3,0,18,18
2012-05-01,27,68,21,2,4,20,16
2012-06-01,21,70,24,2,0,23,19
2012-07-01,20,79,20,4,7,22,19
2012-08-01,19,80,21,4,12,22,19
2012-09-01,26,71,24,3,10,23,18
2012-10-01,23,71,33,3,6,22,16
2012-11-01,24,65,65,2,10,21,19
2012-12-01,19,65,40,2,7,23,17
2013-01-01,23,69,39,2,13,22,20
2013-02-01,20,69,36,3,8,22,18
2013-03-01,22,74,27,3,5,20,18
2013-04-01,23,69,31,3,12,39,17
2013-05-01,20,72,23,3,14,27,17
2013-06-01,19,70,21,3,12,30,16
2013-07-01,16,81,23,4,11,29,18
2013-08-01,17,84,21,4,16,29,16
2013-09-01,17,72,32,4,6,24,19
2013-10-01,18,69,37,2,7,24,21
2013-11-01,22,65,43,2,0,23,23
2013-12-01,19,65,31,2,5,28,18
2014-01-01,24,75,33,2,0,25,24
2014-02-01,21,73,30,2,10,24,21
2014-03-01,21,69,25,2,8,25,20
2014-04-01,20,72,23,3,8,19,16
2014-05-01,22,70,22,3,8,18,20
2014-06-01,21,69,19,3,9,20,18
2014-07-01,14,76,18,4,20,20,18
2014-08-01,14,82,17,4,10,20,19
2014-09-01,19,69,22,3,9,20,22
2014-10-01,21,71,24,3,10,21,23
2014-11-01,26,64,33,4,6,25,20
2014-12-01,20,66,24,5,8,22,25
2015-01-01,28,78,26,7,12,37,30
2015-02-01,21,73,25,5,6,29,28
2015-03-01,21,73,20,4,14,25,29
2015-04-01,19,77,20,4,9,20,21
2015-05-01,17,74,16,4,6,16,18
2015-06-01,18,73,18,3,10,20,22
2015-07-01,16,82,17,4,12,25,22
2015-08-01,12,84,18,6,14,22,24
2015-09-01,17,78,21,4,7,20,24
2015-10-01,18,81,23,3,9,18,23
2015-11-01,19,66,29,3,14,19,25
2015-12-01,19,72,20,7,11,22,24
2016-01-01,18,78,24,6,12,20,29
2016-02-01,19,75,25,4,8,28,25
2016-03-01,19,79,18,4,11,24,22
2016-04-01,19,74,15,3,9,19,25
2016-05-01,18,77,16,4,9,19,24
2016-06-01,17,69,17,3,9,23,25
2016-07-01,13,86,15,4,12,20,20
2016-08-01,11,89,15,4,14,19,26
2016-09-01,16,76,16,4,5,18,22
2016-10-01,16,80,17,4,10,21,28
2016-11-01,19,71,26,3,11,25,25
2016-12-01,17,71,24,4,8,26,24
2017-01-01,24,81,24,3,7,23,28
2017-02-01,20,75,18,3,12,23,29
2017-03-01,23,77,18,3,11,20,25
2017-04-01,18,82,18,4,9,20,27
2017-05-01,19,78,14,4,7,20,26
2017-06-01,13,86,18,5,13,18,30
2017-07-01,14,90,14,5,14,22,27
2017-08-01,12,91,16,5,10,23,29
2017-09-01,15,77,16,6,13,20,35
2017-10-01,16,81,23,5,11,19,36
2017-11-01,18,75,27,5,12,20,45
2017-12-01,16,72,21,5,15,22,55
2018-01-01,20,80,23,5,12,21,51
2018-02-01,20,77,20,5,10,21,36
2018-03-01,17,84,17,5,14,20,31
2018-04-01,18,80,13,7,10,17,24
2018-05-01,20,85,13,10,9,18,31
2018-06-01,16,76,14,7,9,17,31
2018-07-01,15,91,16,7,13,19,30
2018-08-01,18,89,17,8,8,24,35
2018-09-01,17,85,16,9,8,20,35
2018-10-01,19,81,18,9,9,23,35
2018-11-01,20,75,30,10,5,22,35
2018-12-01,17,77,23,8,8,24,35
2019-01-01,20,84,24,7,12,25,36
2019-02-01,21,77,25,6,15,26,34
2019-03-01,19,73,19,6,12,22,31
2019-04-01,16,79,19,8,8,20,34
2019-05-01,17,75,15,8,12,17,36
2019-06-01,16,85,17,8,12,32,35
2019-07-01,14,95,17,8,11,36,39
2019-08-01,14,89,16,7,12,52,35
2019-09-01,16,77,21,9,13,44,39
2019-10-01,16,77,22,7,14,36,40
2019-11-01,20,70,31,6,11,35,39
2019-12-01,17,72,26,8,9,40,44
2020-01-01,19,82,29,10,13,56,53
2020-02-01,18,73,28,7,10,64,46
2020-03-01,41,52,16,13,18,100,84
2020-04-01,38,48,16,13,15,74,71
2020-05-01,30,60,17,9,14,56,58
2020-06-01,24,66,20,9,16,49,54
2020-07-01,18,78,18,8,19,67,50
2020-08-01,18,70,17,7,19,76,53
2020-09-01,20,68,16,7,17,51,45
2020-10-01,21,62,19,7,13,51,47
2020-11-01,23,46,21,7,15,55,59
2020-12-01,28,45,20,10,10,53,75
2021-01-01,30,47,26,9,16,52,100
2021-02-01,36,46,23,8,20,47,97
2021-03-01,37,50,19,9,25,51,70
2021-04-01,28,48,19,8,15,43,87
2021-05-01,42,54,18,10,12,48,81
2021-06-01,36,62,20,11,18,44,54
2021-07-01,35,82,20,13,15,43,49
2021-08-01,34,81,20,14,15,46,58
2021-09-01,43,70,26,15,13,42,60
2021-10-01,62,78,48,27,17,51,76
2021-11-01,57,59,43,15,13,58,74
2021-12-01,68,58,47,13,16,44,71
2022-01-01,72,72,100,16,14,47,97
2022-02-01,67,74,60,23,22,71,82
2022-03-01,97,100,69,100,18,98,87
2022-04-01,100,90,59,46,20,64,76
